country,life_expectancy,population,gdp_per_capita,gini,continent,infant_mortality,fertility,region,log10_gdp_per_capita
Albania,78,2930000,12400,29,Europe,12.5,1.78,Southern Europe,4.093421685162235
Algeria,77.9,42000000,13700,27.6,Africa,21.9,2.71,Northern Africa,4.136720567156407
Angola,65.2,30800000,5850,42.6,Africa,96,5.65,Middle Africa,3.7671558660821804
Antigua and Barbuda,77.6,103000,21000,40,Americas,5.8,2.06,Caribbean,4.3222192947339195
Argentina,77,44700000,18900,42.4,Americas,11.1,2.15,South America,4.276461804173244
Armenia,76,2930000,8660,32.6,Asia,12.6,1.41,Western Asia,3.937517892017347
Australia,82.9,24800000,45800,32.3,Oceania,3,1.88,Australia and New Zealand,4.66086547800387
Austria,81.8,8750000,44600,30.5,Europe,2.9,1.5,Western Europe,4.649334858712142
Azerbaijan,72.3,9920000,16600,32.4,Asia,27.9,1.89,Western Asia,4.220108088040055
Bahamas,74.1,399000,21900,43.7,Americas,9.9,1.88,Caribbean,4.3404441148401185
Bahrain,77.2,1570000,44300,40,Asia,5.3,2.03,Western Asia,4.6464037262230695
Bangladesh,73.4,166000000,3720,32.4,Asia,30.7,2.12,Southern Asia,3.5705429398818973
Barbados,76.8,286000,16000,43.8,Americas,12,1.86,Caribbean,4.204119982655925
Belarus,73.8,9450000,17200,27,Europe,3.4,1.51,Eastern Europe,4.235528446907549
Belgium,81.2,11500000,42800,27.7,Europe,3.3,1.86,Western Europe,4.631443769013172
Belize,72.5,382000,7710,53.3,Americas,14.2,2.6,Central America,3.8870543780509568
Benin,65,11500000,2160,47.8,Africa,64.2,4.69,Western Africa,3.3344537511509307
Bhutan,74.8,817000,9930,37.5,Asia,27.2,2.15,Southern Asia,3.996949248495381
Bolivia,74,11200000,6980,44.6,Americas,30.6,3.14,South America,3.843855422623161
Bosnia and Herzegovina,77.9,3500000,12100,32.7,Europe,5.1,1.32,Southern Europe,4.08278537031645
Botswana,66.9,2330000,16500,60.5,Africa,34.8,2.54,Southern Africa,4.217483944213907
Brazil,75.7,211000000,14300,51.3,Americas,14.6,1.78,South America,4.155336037465061
Brunei,77.4,434000,76900,40,Asia,8.6,1.96,South-Eastern Asia,4.885926339801431
Bulgaria,75.3,7040000,18900,37.4,Europe,9.3,1.57,Eastern Europe,4.276461804173244
Burkina Faso,61.6,19800000,1710,35.3,Africa,60.9,5.43,Western Africa,3.2329961103921536
Burundi,61.1,11200000,691,38.6,Africa,54.1,5.85,Eastern Africa,2.8394780473741985
Cambodia,69.3,16200000,3830,42,Asia,24.6,2.8,South-Eastern Asia,3.583198773968623
Cameroon,61.2,24700000,3170,46.6,Africa,57.1,4.63,Middle Africa,3.5010592622177517
Canada,82.2,37000000,43800,31.1,Americas,4.3,1.68,Northern America,4.6414741105041
Cape Verde,74.1,553000,6420,47.2,Africa,20.7,2.22,Western Africa,3.807535028068853
Central African Republic,51.6,4740000,689,56.2,Africa,91.5,4.2,Middle Africa,2.8382192219076257
Chad,60.5,15400000,1860,43.3,Africa,85,6.04,Middle Africa,3.2695129442179165
Chile,80.7,18200000,23400,47.7,Americas,7,1.8,South America,4.3692158574101425
China,76.9,1420000000,16000,39.1,Asia,9.2,1.57,Eastern Asia,4.204119982655925
Colombia,78.6,49500000,13700,50.8,Americas,13.6,2.23,South America,4.136720567156407
Comoros,68,832000,1440,45.3,Africa,55.1,4.58,Eastern Africa,3.1583624920952498
"Congo, Dem. Rep.",62.4,84000000,751,42.1,Africa,74.5,5.72,Middle Africa,2.8756399370041685
"Congo, Rep.",63.9,5400000,5620,48.9,Africa,33.2,4.86,Middle Africa,3.749736315569061
Costa Rica,81.4,4950000,16200,48.7,Americas,8.5,1.77,Central America,4.209515014542631
Cote d'Ivoire,61.2,24900000,3760,41.5,Africa,66.6,4.76,Western Africa,3.575187844927661
Croatia,77.7,4160000,22600,31.1,Europe,3.6,1.52,Southern Europe,4.354108439147401
Cuba,79.3,11500000,20000,43.4,Americas,4,1.45,Caribbean,4.301029995663981
Cyprus,80.8,1190000,32200,34,Asia,2.5,1.46,Western Asia,4.507855871695831
Czech Republic,79.4,10600000,32300,25.9,Europe,2.8,1.6,Eastern Europe,4.509202522331103
Denmark,81.1,5750000,46600,28.2,Europe,2.9,1.89,Northern Europe,4.66838591669
Djibouti,67.1,971000,3540,44.1,Africa,54.2,3.26,Eastern Africa,3.5490032620257876
Dominican Republic,76.1,10900000,15200,45.3,Americas,25.7,2.42,Caribbean,4.181843587944773
Ecuador,78.3,16900000,10200,45,Americas,18.4,2.5,South America,4.008600171761918
Egypt,72.6,99400000,10800,31.8,Africa,20.3,2.7,Northern Africa,4.033423755486949
El Salvador,75.8,6410000,8290,40,Americas,14.4,2.14,Central America,3.9185545305502734
Equatorial Guinea,66.1,1310000,20500,40,Africa,68.2,4.65,Middle Africa,4.311753861055754
Eritrea,64.6,5190000,1250,40,Africa,34.1,4.52,Eastern Africa,3.0969100130080562
Estonia,77.7,1310000,29500,32.7,Europe,2.3,1.62,Northern Europe,4.469822015978163
Ethiopia,66.4,108000000,1800,39.1,Africa,41.4,4.28,Eastern Africa,3.255272505103306
Fiji,65.8,912000,9420,36.7,Oceania,19.1,2.54,Melanesia,3.9740509027928774
Finland,82.1,5540000,40300,27.1,Europe,1.9,1.86,Northern Europe,4.605305046141109
France,82.6,65200000,39000,32.7,Europe,3.5,1.98,Western Europe,4.5910646070264995
Gabon,67.3,2070000,17500,38.1,Africa,36.1,3.97,Middle Africa,4.243038048686294
Gambia,67.8,2160000,1570,35.9,Africa,47.9,5.67,Western Africa,3.1958996524092336
Georgia,74.3,3910000,10100,36.5,Asia,10.6,1.81,Western Asia,4.004321373782642
Germany,81.3,82300000,45200,31.7,Europe,3.1,1.44,Western Europe,4.6551384348113825
Ghana,66.6,29500000,4380,42.4,Africa,42.8,3.74,Western Africa,3.6414741105040997
Greece,81.3,11100000,25500,36,Europe,3.6,1.55,Southern Europe,4.4065401804339555
Grenada,71.9,108000,13500,40,Americas,10.8,2.13,Caribbean,4.1303337684950066
Guatemala,73.2,17200000,7530,48.3,Americas,24.3,3.66,Central America,3.8767949762007006
Guinea,61.9,13100000,1280,33.7,Africa,61,4.75,Western Africa,3.1072099696478683
Guinea-Bissau,59.7,1910000,1550,50.7,Africa,60.3,4.8,Western Africa,3.1903316981702914
Guyana,68.2,782000,7740,43.2,Americas,32,2.47,South America,3.8887409606828927
Haiti,64.5,11100000,1710,50.9,Americas,52.2,3.03,Caribbean,3.2329961103921536
Honduras,73.1,9420000,4590,50.1,Americas,17.4,2.91,Central America,3.661812685537261
Hungary,75.9,9690000,26900,30.4,Europe,5.3,1.44,Eastern Europe,4.429752280002408
Iceland,82.6,338000,47400,27.8,Europe,1.6,2.06,Northern Europe,4.675778341674085
India,69.1,1350000000,6890,35.1,Asia,37.9,2.43,Southern Asia,3.8382192219076257
Indonesia,72,267000000,11600,38.3,Asia,22.8,2.28,South-Eastern Asia,4.064457989226918
Iran,76.5,82000000,17400,38.8,Asia,13.4,1.91,Southern Asia,4.2405492482825995
Iraq,68,39300000,15900,29.5,Asia,26.5,3.91,Western Asia,4.201397124320452
Ireland,81.5,4800000,65600,31.8,Europe,3,1.99,Northern Europe,4.8169038393756605
Israel,82.4,8450000,33400,41.4,Asia,3.2,2.86,Western Asia,4.523746466811565
Italy,82.6,59300000,35200,35.4,Europe,2.9,1.52,Southern Europe,4.546542663478131
Jamaica,75.2,2900000,8520,45.5,Americas,13.5,2.21,Caribbean,3.9304395947667
Japan,84.2,127000000,39100,32.1,Asia,2,1.45,Eastern Asia,4.592176757395867
