rideable_type,date,riders,day_of_the_week,riders_previous_day
docked_bike,2020-06-02,1406,Tue,1609
docked_bike,2020-06-03,2696,Wed,1406
docked_bike,2020-06-04,1454,Thu,2696
docked_bike,2020-06-05,1559,Fri,1454
docked_bike,2020-06-06,2311,Sat,1559
docked_bike,2020-06-07,1908,Sun,2311
docked_bike,2020-06-08,1287,Mon,1908
docked_bike,2020-06-09,1447,Tue,1287
docked_bike,2020-06-10,1495,Wed,1447
docked_bike,2020-06-11,1457,Thu,1495
docked_bike,2020-06-12,1474,Fri,1457
docked_bike,2020-06-13,2319,Sat,1474
docked_bike,2020-06-14,1897,Sun,2319
docked_bike,2020-06-15,1313,Mon,1897
docked_bike,2020-06-16,1374,Tue,1313
docked_bike,2020-06-17,1688,Wed,1374
docked_bike,2020-06-18,1590,Thu,1688
docked_bike,2020-06-19,2047,Fri,1590
docked_bike,2020-06-20,1990,Sat,2047
docked_bike,2020-06-21,1650,Sun,1990
docked_bike,2020-06-22,1238,Mon,1650
docked_bike,2020-06-23,1295,Tue,1238
docked_bike,2020-06-24,1372,Wed,1295
docked_bike,2020-06-25,1361,Thu,1372
docked_bike,2020-06-26,1421,Fri,1361
docked_bike,2020-06-27,1819,Sat,1421
docked_bike,2020-06-28,1785,Sun,1819
docked_bike,2020-06-29,1373,Mon,1785
docked_bike,2020-06-30,1357,Tue,1373
docked_bike,2020-07-01,1391,Wed,1357
docked_bike,2020-07-02,1459,Thu,1391
docked_bike,2020-07-03,1581,Fri,1459
docked_bike,2020-07-04,1917,Sat,1581
docked_bike,2020-07-05,1724,Sun,1917
docked_bike,2020-07-06,1363,Mon,1724
docked_bike,2020-07-07,1467,Tue,1363
docked_bike,2020-07-08,1495,Wed,1467
docked_bike,2020-07-09,1607,Thu,1495
docked_bike,2020-07-10,1601,Fri,1607
docked_bike,2020-07-11,2313,Sat,1601
docked_bike,2020-07-12,2033,Sun,2313
docked_bike,2020-07-13,1160,Mon,2033
docked_bike,2020-07-14,1425,Tue,1160
docked_bike,2020-07-15,1445,Wed,1425
docked_bike,2020-07-16,1436,Thu,1445
docked_bike,2020-07-17,1654,Fri,1436
docked_bike,2020-07-18,2013,Sat,1654
docked_bike,2020-07-19,1719,Sun,2013
docked_bike,2020-07-20,1221,Mon,1719
docked_bike,2020-07-21,1236,Tue,1221
docked_bike,2020-07-22,1470,Wed,1236
docked_bike,2020-07-23,1457,Thu,1470
docked_bike,2020-07-24,1481,Fri,1457
docked_bike,2020-07-25,2232,Sat,1481
docked_bike,2020-07-26,1945,Sun,2232
docked_bike,2020-07-27,1318,Mon,1945
docked_bike,2020-07-28,1326,Tue,1318
docked_bike,2020-07-29,1424,Wed,1326
docked_bike,2020-07-30,1401,Thu,1424
docked_bike,2020-07-31,1622,Fri,1401
docked_bike,2020-08-01,2231,Sat,1622
docked_bike,2020-08-02,1674,Sun,2231
docked_bike,2020-08-03,1333,Mon,1674
docked_bike,2020-08-04,1384,Tue,1333
docked_bike,2020-08-05,1304,Wed,1384
docked_bike,2020-08-06,1541,Thu,1304
docked_bike,2020-08-07,1674,Fri,1541
docked_bike,2020-08-08,2186,Sat,1674
docked_bike,2020-08-09,1844,Sun,2186
docked_bike,2020-08-10,1337,Mon,1844
docked_bike,2020-08-11,1401,Tue,1337
docked_bike,2020-08-12,1482,Wed,1401
docked_bike,2020-08-13,1574,Thu,1482
docked_bike,2020-08-14,1807,Fri,1574
docked_bike,2020-08-15,2407,Sat,1807
docked_bike,2020-08-16,1496,Sun,2407
docked_bike,2020-08-17,1255,Mon,1496
docked_bike,2020-08-18,1603,Tue,1255
docked_bike,2020-08-19,1339,Wed,1603
docked_bike,2020-08-20,1384,Thu,1339
docked_bike,2020-08-21,1475,Fri,1384
docked_bike,2020-08-22,2022,Sat,1475
docked_bike,2020-08-23,1446,Sun,2022
docked_bike,2020-08-24,1262,Mon,1446
docked_bike,2020-08-25,1226,Tue,1262
docked_bike,2020-08-26,1292,Wed,1226
docked_bike,2020-08-27,1396,Thu,1292
docked_bike,2020-08-28,1378,Fri,1396
docked_bike,2020-08-29,1753,Sat,1378
docked_bike,2020-08-30,1569,Sun,1753
docked_bike,2020-08-31,1171,Mon,1569
electric_bike,2020-06-01,2970,Mon,1171
electric_bike,2020-06-02,3218,Tue,2970
electric_bike,2020-06-03,4460,Wed,3218
electric_bike,2020-06-04,3069,Thu,4460
electric_bike,2020-06-05,3571,Fri,3069
electric_bike,2020-06-06,4863,Sat,3571
electric_bike,2020-06-07,4120,Sun,4863
