y,x1,x2,g1,g2
-6.39,1.74,-0.53,A,a
-9.21,0.66,-2.59,B,a
2.41,-0.18,1.06,C,a
5.42,-0.57,1.68,D,a
-4.18,2.05,-0.71,E,a
6.04,-2.01,0.39,A,b
7.25,0.01,2.02,B,b
5.89,-0.75,0.38,C,b
-0.12,0.91,-0.15,D,b
8.88,-2.27,0.41,E,b
-0.19,1.25,-0.68,A,c
2.18,1.34,0.25,B,c
-0.92,1.86,0.12,C,c
4.03,-0.1,-0.44,D,c
6.1,-1.36,-0.1,E,c
-1.01,-0.55,0.17,A,d
-3.4,1.22,-0.31,B,d
0.18,-0.38,-0.2,C,d
-6.82,-0.56,-2.39,D,d
10.16,-1.3,1.38,E,d
0.55,0.29,0.06,A,e
9.57,-1.78,1.33,B,e
-1.95,-0.64,-0.9,C,e
0.92,0.9,-0.12,D,e
8.66,-0.74,0.99,E,e
-6.88,0.38,-1.2,A,f
-3.08,-2.36,-1.11,B,f
5,0.26,2.5,C,f
0.43,0.51,1.32,D,f
-3.87,0.18,-0.76,E,f
3.74,-1.48,-0.66,A,g
4.3,0.69,0.91,B,g
7.06,-1.16,-0.1,C,g
-0.33,0.42,-2.07,D,g
0.58,-1.45,-1.77,E,g
-0.18,-0.84,-0.02,A,h
-7.03,1.43,-0.62,B,h
-1.28,0.16,-0.31,C,h
-5.37,0.34,-1.19,D,h
-5.82,2.88,0.17,E,h
2.08,-0.2,0.36,A,i
6.33,-0.89,0.54,B,i
1.7,0.29,0.22,C,i
-1.4,1.93,1.14,D,i
5.46,-0.61,0.48,E,i
2.21,0.75,1.88,A,j
2.02,-0.34,-0.01,B,j
8.04,-1.21,1.04,C,j
5.07,-0.81,0.11,D,j
0.34,-0.58,-1.03,E,j
-3.29,-1.24,-0.46,A,a
-3.26,0.39,-0.36,B,a
-3.3,0.33,-0.5,C,a
-0.14,-0.51,-0.05,D,a
1.89,0.17,0.33,E,a
2.11,0.39,1.14,A,b
-1.76,0.78,0.52,B,b
4.18,-2.09,-0.09,C,b
0.82,0.39,-0.21,D,b
-2.05,0.78,-1.08,E,b
1.9,1.31,0.55,A,c
2.64,-0.3,-0.16,B,c
5.97,-0.46,0.3,C,c
-1.01,-0.17,-1.53,D,c
1.5,1.25,-0.83,E,c
-2.24,0.32,-0.83,A,d
4.73,-0.54,0.66,B,d
3.73,-0.7,0.3,C,d
-1.98,-1.4,-1.35,D,d
0.58,-0.32,-0.52,E,d
0.21,1.03,1.59,A,e
0.82,-0.04,0.16,B,e
3.37,0.88,0.69,C,e
-2.48,0.8,-1.11,D,e
-2.04,1.09,-1.03,E,e
-2.67,1,0.1,A,f
-7.28,-0.95,-1.53,B,f
-2.87,-0.35,-0.35,C,f
1.53,-0.52,0.45,D,f
0.51,0.06,0.5,E,f
-0.73,0.3,-1.27,A,g
5.87,0.16,-0.03,B,g
9.05,-1.09,0.31,C,g
5.16,-0.05,-0.63,D,g
7.9,-0.6,0.44,E,g
-2.17,0.15,-0.23,A,h
-3.49,-1.37,-0.82,B,h
-1.09,1.01,0.89,C,h
6.08,-1.56,0.68,D,h
0.13,0.19,0.4,E,h
-2.81,1.71,-0.34,A,i
1.62,-0.11,0.16,B,i
-0.52,0.08,-1.49,C,i
1.25,0.23,0.12,D,i
2.47,-1.42,-0.59,E,i
10.69,-1.77,1.35,A,j
1.36,0.05,-0.33,B,j
-1.33,1.6,-0.45,C,j
3.47,0.24,-0.47,D,j
2.73,-0.86,-0.68,E,j
-6.08,-0.2,-1.18,A,a
-6.37,0.37,-1.89,B,a
-9.56,0.65,-1.75,C,a
10.17,-1.75,1.93,D,a
-1.29,1.74,0.61,E,a
2.72,-0.06,1.06,A,b
3.41,-0.75,0.35,B,b
-0.12,-0.39,-0.2,C,b
6.94,-0.88,0.67,D,b
4.39,0.33,1.29,E,b
2.36,0.18,-0.27,A,c
-0,1.5,0.2,B,c
3.48,-1.17,-0.58,C,c
-2.39,-0.91,-2.3,D,c
1.65,-1.38,-1.5,E,c
1.17,-0.35,0.62,A,d
0.49,-0.57,-0.64,B,d
3.27,0.46,1.35,C,d
-5.21,2.22,-0.25,D,d
0.16,0.97,0.28,E,d
-3.11,1.01,-0.9,A,e
-3.76,-1.21,-1.69,B,e
-0.36,1.28,0.67,C,e
2.16,0.35,1.04,D,e
9.01,-1.8,0.69,E,e
-2.07,0.46,-0.16,A,f
-3.37,-0.13,-0.69,B,f
-2.08,-0.04,-0.38,C,f
-5.37,0.9,-1.43,D,f
-3.95,-0,-1.85,E,f
1.59,0.74,-0.87,A,g
6.29,-1.19,-0.03,B,g
4.47,0.14,-0.18,C,g
5.97,-0.73,-0.38,D,g
1.23,0.32,-1.36,E,g
1.15,-0.83,0.15,A,h
-6.67,2.35,0.18,B,h
-2.58,-0.29,-0.48,C,h
0.16,-1.11,-0.39,D,h
-2.09,0.34,-0.17,E,h
3.79,-1.69,-0.01,A,i
6.72,-1.09,0.86,B,i
5.13,0.13,1.26,C,i
-1.2,0.14,-1.42,D,i
3.08,-0.29,0.36,E,i
-2.13,1.8,0.02,A,j
2.37,0.76,0.72,B,j
1.72,-0.19,-0.19,C,j
7.06,-2.26,0.16,D,j
6.13,-1.59,0.26,E,j
1.4,0.06,1.3,A,a
-3.59,0.89,0.33,B,a
4.52,-0.1,1.72,C,a
-6.26,0.29,-1.46,D,a
-5.62,2.63,0.48,E,a
-0.05,-0.46,0.04,A,b
-2.62,-0.47,-1.29,B,b
-2.88,-0.17,-1.01,C,b
7.74,-0.63,1.42,D,b
1.97,0.34,0.41,E,b
1.94,1.28,0.41,A,c
7.98,-0.93,0.48,B,c
10.97,-1.89,0.41,C,c
4.19,-0.61,0.02,D,c
1.58,-0.4,-1.45,E,c
-2.59,-0.02,-0.53,A,d
0.34,-1.04,-0.46,B,d
3.08,-1.03,0.08,C,d
-1.4,2.05,0.7,D,d
1.98,0.54,0.65,E,d
0.36,-0,0.02,A,e
-4.78,1.54,-1.77,B,e
-1.33,1.53,0.83,C,e
-2.12,-0.11,-1.18,D,e
1.21,0.47,0.27,E,e
-3.01,-0.29,-0.13,A,f
-4.17,0.41,-0.01,B,f
0.79,-1.3,0.12,C,f
2.31,-1.06,0.01,D,f
-3.89,1.1,-0.1,E,f
7,0.58,1.55,A,g
4.32,-1.45,-0.76,B,g
10.99,-2.08,0.68,C,g
0.02,1.56,-1.33,D,g
6.53,0.33,0.4,E,g
-3.26,0.13,-0.26,A,h
-1.25,-1.74,-0.79,B,h
-2.09,0.49,-0.02,C,h
1.95,-0.98,0.29,D,h
1.88,0.14,0.71,E,h
-3.05,-1.41,-1.6,A,i
0.64,0.37,0.27,B,i
1.41,-0.53,-0.66,C,i
-0.39,1.4,1.01,D,i
2.24,-0.78,-0.54,E,i
2.22,-1.69,-0.49,A,j
4.1,-2.57,-0.57,B,j
-2.23,0.27,-1.37,C,j
6.21,0.2,1.21,D,j
3.43,-0.09,0.22,E,j
-3.16,0.08,-0.53,A,a
-5.38,1.07,-0.5,B,a
-5.47,1.22,-0.95,C,a
-0.63,0.68,0.56,D,a
-0.95,0.45,0.01,E,a
0.72,-0.39,0.5,A,b
-2.67,1.66,-0.3,B,b
1.01,0.55,0.59,C,b
-0.59,-1.69,-1.07,D,b
2.89,0.75,0.66,E,b
5.28,-0.82,0.24,A,c
6.82,0.69,1.86,B,c
5.7,0.95,0.6,C,c
3.76,-0.04,0.22,D,c
5.74,0.41,1.1,E,c
-0.84,1.09,1.11,A,d
2.34,-0.64,0.7,B,d
-1.08,-0.26,-0.56,C,d
6.33,-1.29,0.43,D,d
4.83,0.15,1.81,E,d
2.71,-0.69,-0.07,A,e
-3.04,-0.52,-1.68,B,e
7.45,-1.22,0.69,C,e
-0.02,0.01,-0.45,D,e
-0.62,-0.57,-1.31,E,e
-3.47,-0.43,-0.24,A,f
1.41,-0.35,0.9,B,f
-5.34,1.44,-0.84,C,f
-5.78,1.55,-1.26,D,f
6.11,-1.45,0.84,E,f
2.44,0.99,0.1,A,g
6.43,0.86,1.46,B,g
16.5,-2.52,0.97,C,g
6.38,0.7,0.87,D,g
3.11,1.16,-1.02,E,g
-4.49,-0.39,-0.44,A,h
-2.63,0.88,0.23,B,h
1.33,0.26,1.09,C,h
1.38,0.61,1.03,D,h
0.43,-0.5,-0.16,E,h
-6.63,-0.79,-2.11,A,i
11.68,-1.8,1.65,B,i
3.22,-0.56,0.2,C,i
-1.9,0.99,-0.91,D,i
5.25,0.4,1.08,E,i
-2.69,0.6,-0.94,A,j
1.41,0.66,0.7,B,j
-1.45,1.87,-0.36,C,j
10.19,-1.92,0.46,D,j
0.05,-0.26,-0.88,E,j
-10.83,-1.97,-2.28,A,a
-0.29,0.08,0.32,B,a
-4.42,0.17,-0.39,C,a
-2.66,-0.5,-0.73,D,a
1.37,0.72,1.82,E,a
1.23,-0.66,-0.12,A,b
-4.71,-0.6,-1.05,B,b
3.84,1.28,2.7,C,b
3.51,0.17,1.11,D,b
-0.52,-0.61,-0.67,E,b
4.22,-1.93,-0.29,A,c
-0.81,1.17,-1.25,B,c
7.79,-0.18,1.04,C,c
3.37,-0.33,-0.34,D,c
2.18,0.46,-0.38,E,c
1.88,-0.07,0.31,A,d
0.57,-0.27,-0.39,B,d
-4.15,0.23,-1.46,C,d
2.41,0.52,1.1,D,d
2.57,0.24,0.25,E,d
-2.19,0.76,0.34,A,e
2.9,0.18,0.92,B,e
6.19,-0.22,1.17,C,e
1.48,-0.07,0.73,D,e
4.05,0.21,-0.24,E,e
-3.76,0.16,0.05,A,f
2.59,-0.51,1.09,B,f
3.01,-1.18,0.59,C,f
-2.3,0.54,0.4,D,f
-2.03,0.44,-0.08,E,f
9.07,-1.51,0.39,A,g
13.25,-1.42,1.09,B,g
7.48,-0.5,0.46,C,g
6.45,0.09,0.22,D,g
7.31,-0.04,0.27,E,g
-2.61,-0.29,-0.74,A,h
5.26,-0.88,1.26,B,h
-3.14,-0.31,-0.74,C,h
-2.32,-2.1,-0.87,D,h
-5.21,0.96,-0.97,E,h
-7.56,1.6,-2.68,A,i
-2.5,1,0.15,B,i
7.38,-0.4,1.2,C,i
-1.22,0.34,-1.06,D,i
16.47,-1.73,2.47,E,i
2.29,0.42,0.51,A,j
-3.45,1.28,-1.74,B,j
-3.77,-0.15,-1.69,C,j
7.06,0.49,1.62,D,j
-1.89,2.27,-0.19,E,j
-0.63,-2.4,-0.66,A,a
-6.62,2.36,-0.15,B,a
3.14,-1.18,0.71,C,a
-0.06,-0.43,0.17,D,a
4.43,-0.24,1.53,E,a
2.67,0.6,1.71,A,b
5.45,-2.09,0.19,B,b
1.78,-0.03,-0.4,C,b
-5.33,-0.38,-2.04,D,b
3.77,-0.07,1.2,E,b
7.01,-0.01,1.11,A,c
-2.58,0.07,-2.22,B,c
11.55,0.18,2.62,C,c
3.6,0.23,-0.15,D,c
2.64,1.92,1.03,E,c
-1.62,0.22,-0.27,A,d
1.63,0.76,1.04,B,d
-4.62,-0.15,-1.43,C,d
0.62,-1.06,-0.49,D,d
-3.23,0.98,-1.55,E,d
1.65,0.54,1.3,A,e
0.79,1.75,1.12,B,e
-3.28,0.51,-1.07,C,e
1.56,-1.09,-0.48,D,e
5.9,-1.08,0.2,E,e
4.32,-1.64,0.87,A,f
4.52,-0.34,1.5,B,f
-3.88,-0.71,-1.19,C,f
-8.65,0.45,-2,D,f
3.59,-0.68,0.68,E,f
-1.71,2.81,0.55,A,g
0.96,0.86,-1.1,B,g
2.46,-0.27,-0.99,C,g
-3.65,0.2,-3.01,D,g
0.58,-0.24,-1.31,E,g
3.38,-0.92,0.81,A,h
-3.87,-0.82,-1.03,B,h
-3.81,1.19,0.57,C,h
3.77,-1.19,1.21,D,h
4.01,-0.97,0.79,E,h
-0.19,0.29,0.02,A,i
6.39,-1.58,0.44,B,i
5.14,-0.05,1.07,C,i
6.22,-0.41,0.84,D,i
1.5,0.41,0.07,E,i
-2.77,0.25,-1.35,A,j
2.56,0.39,0.7,B,j
5.82,-1.9,-0.2,C,j
11.93,-0.98,1.52,D,j
3.62,-0.49,-0.27,E,j
7.65,-0.41,2.57,A,a
-0.32,0.72,0.76,B,a
9.98,-1.52,1.74,C,a
-6.64,2.62,-0.92,D,a
8.23,-0.46,1.76,E,a
4.07,-1.18,0.36,A,b
-1.05,-0.52,-0.42,B,b
3.72,-0.04,0.91,C,b
-4.41,-0.12,-1.8,D,b
-2.48,-0.35,-1.34,E,b
3.5,-0.61,-0.08,A,c
4.5,-0.5,-0.24,B,c
5.56,-1.28,-0.36,C,c
10.7,-1.14,0.78,D,c
9.17,0.72,1.87,E,c
-1.35,0.36,0.3,A,d
2.88,-0.59,-0.19,B,d
1.12,0.26,0.07,C,d
2.54,-0.04,0.41,D,d
-2.11,-0.16,-1.14,E,d
-0.14,0.64,-0.23,A,e
-1.48,0.74,-0.48,B,e
10.63,-1.56,1.38,C,e
8.47,-1.03,1.13,D,e
-3.66,-0.83,-1.57,E,e
-1.7,0.26,0.03,A,f
-5.45,0.55,-0.85,B,f
0.89,0.26,0.65,C,f
-1.43,1.18,0.9,D,f
2.88,-0.12,1.03,E,f
4.95,0.62,0.14,A,g
-1.92,0.17,-2.17,B,g
8.75,0.51,1.26,C,g
4.96,1.22,0.54,D,g
4.23,1.16,-0.32,E,g
-1.99,-1.18,-0.48,A,h
-7.87,1.37,-1.17,B,h
-5.83,2.53,0.87,C,h
-6.63,2.25,-0.67,D,h
3.77,-1.66,0.18,E,h
-2.44,0.29,-0.4,A,i
-0.07,0.23,-0.28,B,i
-0.72,-0.91,-0.77,C,i
1.65,-0.56,-0.46,D,i
1.84,1.04,0.29,E,i
-1.54,1.7,1.11,A,j
11.74,-1.32,1.62,B,j
1.48,0.52,-0.28,C,j
0.22,0.46,-0.67,D,j
-0.36,0.42,-0.92,E,j
6.48,-2.93,0.26,A,a
-5.53,0.59,-0.23,B,a
-3.32,0.67,-0.38,C,a
-4.19,-0.67,-1,D,a
1.79,-0.95,0.06,E,a
6.58,-0.11,2.16,A,b
1.55,0.64,0.39,B,b
0.36,0.86,-0.23,C,b
6.5,-0.3,0.87,D,b
6.59,0.01,1.47,E,b
5.09,-1.03,0.36,A,c
3.18,0.49,-0.31,B,c
4.71,-0.37,-0.06,C,c
4.5,-0.15,-0.15,D,c
6.03,0.62,1.12,E,c
1.25,0.95,1.13,A,d
7.26,-0.87,1.19,B,d
-4.05,0.6,-1.21,C,d
6.96,0.26,2.67,D,d
0.97,-1.73,-0.79,E,d
-1.13,-0.85,-0.17,A,e
-1.84,-0.69,-1.13,B,e
6.08,0.14,1.35,C,e
-2.62,1.45,-0.9,D,e
3.13,1.03,1.52,E,e
-3.47,-0.63,-0.75,A,f
0.31,-1.01,-0.02,B,f
-2.17,0.13,-0.35,C,f
-3.58,1.35,-0.69,D,f
3.08,-1.3,-0,E,f
11.37,-0.82,1.24,A,g
3.47,0.72,0.23,B,g
3.65,1.59,0.97,C,g
0.49,1.96,-1.24,D,g
2.28,0.21,-1.44,E,g
-1.97,-0.66,0.23,A,h
-2.91,-0.13,-0.21,B,h
2.16,0.62,1.88,C,h
0.09,-0.74,-0.63,D,h
9.07,-1.55,1.37,E,h
-0.69,1.42,0.92,A,i
-4.4,-0.25,-1.41,B,i
2.74,-0.21,-0.13,C,i
7.94,-1.84,0.53,D,i
-1.09,2.38,1.52,E,i
2.1,0.3,0.57,A,j
1.02,-1.38,-0.71,B,j
-1.52,1.15,-1.46,C,j
6.43,0.31,1,D,j
6.82,-0.14,0.8,E,j
-6.29,1.6,-0.03,A,a
8,-1.53,1.67,B,a
6.96,-1.1,1.32,C,a
-0.74,1.23,-0.08,D,a
1.35,-0.54,0.3,E,a
6.45,-0.45,1.92,A,b
-0.67,0.68,0.21,B,b
-4.12,1.11,-1.59,C,b
-3.08,1.41,0.98,D,b
-3.16,1.91,-1.73,E,b
8.57,-1.06,1.08,A,c
6.03,0.74,1.15,B,c
-0.51,0.24,-1.47,C,c
0.27,0.24,-0.78,D,c
3.86,-0.86,-0.64,E,c
8.47,-1.26,1.44,A,d
5.24,-0.66,1.19,B,d
1.5,-0.9,-0.22,C,d
-2.94,-2.04,-1.61,D,d
1.73,1.12,1.21,E,d
-2.58,1.24,-0.27,A,e
-2.62,0.46,-1.34,B,e
5.46,0,1.13,C,e
3.13,0.01,0.93,D,e
-0.55,2.13,0.12,E,e
-7.28,0.66,-1.42,A,f
4.73,-1.45,0.77,B,f
0.41,-0.34,0.36,C,f
2.31,0.03,0.68,D,f
-1.83,-0.17,-0.55,E,f
-0.49,1.47,-0.43,A,g
2.96,-0.03,-0.87,B,g
1.64,-0.18,-1.23,C,g
2.78,-0.49,-1.23,D,g
3.73,-0.55,-1.13,E,g
-3.68,0.15,0.02,A,h
-5.12,0.42,-1.53,B,h
-2.87,0.96,0.02,C,h
0.21,0.18,0.5,D,h
-0.15,-0.83,-0.18,E,h
-3.29,1.22,-1.13,A,i
10.06,-1.08,1.69,B,i
2.83,-0.13,0.5,C,i
4.44,0.39,1.26,D,i
2.45,0.97,1.76,E,i
-0.07,-0.67,-0.8,A,j
-0.86,1.64,-0.01,B,j
3.53,-0.2,0.18,C,j
-2.04,2.39,2.04,D,j
0.32,0.96,-0.01,E,j
-2.36,0.44,0.53,A,a
-4.04,0.56,-0.16,B,a
-1.57,0.11,-0.36,C,a
6.66,-0.76,1.82,D,a
2.85,0.28,1.5,E,a
-2.47,0.1,-0.58,A,b
-3.2,0.25,-0.57,B,b
0.8,0.32,0.26,C,b
3.43,-0.71,0.16,D,b
-0.82,0.64,-1,E,b
5.14,-0.09,1.14,A,c
0.58,0.24,-1.56,B,c
2.07,0.75,-0.11,C,c
5.01,1.9,2.38,D,c
5.65,0.16,-0.12,E,c
-2.03,0.1,-0.35,A,d
-6.94,1.18,-1.43,B,d
-1.68,0.54,-0.46,C,d
6.55,-0.98,1.05,D,d
4.04,-2.24,-0.23,E,d
2.12,-0.51,-0.04,A,e
-1.95,1.4,0.26,B,e
4.87,-0.91,0.48,C,e
3.2,-0.1,0.02,D,e
3.56,-0.94,-0.17,E,e
-0.21,0.64,1.07,A,f
-3.52,1.61,2.07,B,f
-1.98,0.28,0.05,C,f
-1.07,-0.2,-0.74,D,f
-1.38,1.08,0.13,E,f
6.45,0.93,1.79,A,g
3.25,0.45,0.77,B,g
7.31,-0.89,-0.14,C,g
3.43,1.13,-0.48,D,g
7.73,-0.52,-0.33,E,g
-2.15,0.49,0.55,A,h
-2.13,0.06,0.62,B,h
0.49,-1.24,-0.36,C,h
0.71,-0.76,-0,D,h
-3.44,0.63,-0.74,E,h
2.66,-0.29,0.15,A,i
7.16,-0.97,1.11,B,i
-0.99,1.09,0.17,C,i
-3.64,-2.01,-2.47,D,i
-1.73,0.87,-1.21,E,i
-0.8,0.43,-0.21,A,j
1.94,-0.28,0.04,B,j
-2.45,1.93,0.31,C,j
2.96,0.16,-0.17,D,j
6.62,-0.39,1.08,E,j
-10.73,3.06,0.76,A,a
-7.06,1.34,-1.11,B,a
3.89,-1.38,0.56,C,a
-4.63,1.22,-0.24,D,a
11.68,-1.26,2.47,E,a
-0.84,-0.76,-0.31,A,b
1.22,0.41,0.81,B,b
-0.48,1.21,0.69,C,b
5.16,0.65,1.52,D,b
-0.15,0,-0.93,E,b
-0.28,0.25,-1.16,A,c
4.37,0.05,0.16,B,c
6.87,1.03,2.2,C,c
6.36,-0.53,0.66,D,c
0.41,0.84,-0.56,E,c
-3.89,0.26,-1.4,A,d
0.79,0.2,0.29,B,d
-3.96,1.84,0.46,C,d
2.81,-1.28,-0.14,D,d
0.15,0.65,-0.17,E,d
1.11,-0.34,0.17,A,e
3.28,-1.28,-0.3,B,e
2.83,0.76,1.36,C,e
-3.66,0.78,-2.08,D,e
0.16,0.04,-1.03,E,e
-4.54,1.29,0.35,A,f
-8.03,2.39,-0.11,B,f
-2.15,0.36,-0.4,C,f
0.7,0.4,0.13,D,f
2.81,-1.31,-0.02,E,f
0.18,-0.46,-0.95,A,g
6.25,0.73,1.52,B,g
2.82,1.07,-0.21,C,g
5.8,0.08,0.24,D,g
7.06,0.85,1.36,E,g
6.77,-1.34,1.1,A,h
-1.47,0.31,0.29,B,h
2.39,-2.21,0.07,C,h
-5.52,-1.03,-1.61,D,h
-4.27,1.67,0.05,E,h
0.54,-1.07,-0.35,A,i
-4.47,-0.97,-1.51,B,i
5.29,-2.24,0.27,C,i
6.05,-1.35,0.25,D,i
-0.28,0.32,-0.12,E,i
3.3,-0.44,0.25,A,j
-3.28,1.34,-0.94,B,j
7.84,-0.94,0.85,C,j
-0.34,0.76,-0.59,D,j
7.1,-1.03,0.14,E,j
-5.09,-0.43,-0.58,A,a
-4,1.26,1.12,B,a
-3.61,-0.88,-0.99,C,a
0.07,0.91,1.41,D,a
-1.6,0.53,-0.58,E,a
-2.43,0.61,-0.08,A,b
-3.1,0.1,-1.76,B,b
3.3,-1.45,0.02,C,b
-0.41,1.27,0.24,D,b
1.93,-0.37,-0.43,E,b
4.26,-1.27,-0.26,A,c
9.33,-0.32,1.64,B,c
6.14,0.76,1.44,C,c
9.27,-0.35,0.9,D,c
5.4,0.25,0.53,E,c
-5.64,0.79,-1.18,A,d
-2.15,-0.01,-0.48,B,d
4.42,0.38,1.64,C,d
3.25,-0.56,0.58,D,d
0.86,-0.2,0.01,E,d
-1.85,0.83,-0.15,A,e
4.86,-0.62,0.57,B,e
6.76,-1,0.75,C,e
-1.01,0.25,-0.52,D,e
8.14,0.29,1.37,E,e
-4.76,1.54,0.42,A,f
-1.72,0.39,0.43,B,f
9.55,-2.66,0.86,C,f
8.8,-1.49,1.46,D,f
-2.41,0.28,-0.36,E,f
-1.04,0.6,-1.38,A,g
1.59,0.97,-0.05,B,g
9.92,-2.9,-0.34,C,g
5.34,0.48,0.24,D,g
0.52,1.83,-0.31,E,g
-4.14,-0.74,-1.07,A,h
-1.36,-1.02,-0.18,B,h
-5.4,-0.28,-1.82,C,h
-2.58,-0.24,-1.09,D,h
0.16,-1.01,-0.45,E,h
-0.9,1.61,1.37,A,i
-0.12,1.17,0.45,B,i
-4.6,1.13,-1.58,C,i
0.08,0.67,-0.47,D,i
7.15,-0.9,0.19,E,i
4.74,-1.33,0.45,A,j
0.48,0.17,-0.32,B,j
-2.17,2.28,0.61,C,j
10.12,-0.64,1.56,D,j
9.97,-0.98,1.19,E,j
-3.98,1.31,0.45,A,a
-5.91,0.45,-0.83,B,a
4.73,0.21,2.09,C,a
-2.13,-0.23,-0.54,D,a
5.29,-0.77,0.87,E,a
7.02,-2.06,0.86,A,b
-3.32,0.97,0.05,B,b
-1.53,1.16,0.63,C,b
6.32,-0.1,1.19,D,b
4.14,-1.77,-0.14,E,b
6.87,-0.49,0.24,A,c
10.44,-0.75,1.46,B,c
1.65,0.81,-0.26,C,c
7.82,-1.7,-0.14,D,c
13.78,-1.45,1.4,E,c
-2.45,1.35,0.22,A,d
2.09,-0.61,0.54,B,d
-2.25,0.72,-0.64,C,d
1.34,-0.25,0.07,D,d
11.05,-1.5,1.57,E,d
-2.91,0.21,-1.36,A,e
-0.64,0.74,-0.32,B,e
-0.5,-0.47,-0.31,C,e
7.27,-0.19,1.48,D,e
5.6,-0.31,1.06,E,e
6.07,-0.8,1.73,A,f
-0.86,-0.42,-0.17,B,f
3.79,-0.53,0.95,C,f
-3.47,-0.12,-0.58,D,f
-2.49,-0.74,-0.46,E,f
0.31,1,-1.05,A,g
-3.59,-0.4,-2.09,B,g
1.83,2.57,1.26,C,g
