title,artist,top genre,year,bpm,danceability,energy,loudness,liveness,valence,duration _s,acousticness,speechiness,popularity
turtleneck,potsu,japanese chillhop,2019,141,8,67,0,8,17,110,61,4,46
thoughts we don't say,frumhere,lo-fi beats,2019,88,26,53,0,12,24,82,74,6,18
the place we go.,frumhere,lo-fi beats,2019,78,49,41,0,20,59,137,85,6,21
the broken heart gang,frumhere,lo-fi beats,2018,86,66,57,0,22,37,78,89,31,38
temporary nothing,mxmtoon,bedroom pop,2018,79,9,56,0,12,20,187,94,6,58
summerfever,BEVY MACO,korean r&b,2018,77,18,43,0,12,5,210,86,10,45
summer,keshi,indie r&b,2019,85,45,72,-1,12,48,165,14,5,62
study abroad,Crucial Star,k-hop,2017,115,50,77,-1,8,24,233,82,3,52
smiling when i die,Sasha Sloan,electropop,2019,93,41,75,-1,10,23,206,82,13,70
she only likes me when i'm drunk,frumhere,lo-fi beats,2017,140,52,63,-1,19,31,110,51,23,59
sex money feelings die REMIX (feat. Lil Baby & snowsa),Lykke Li,art pop,2019,134,64,74,-2,25,70,163,19,6,33
"selfish, Pt. 2",frumhere,lo-fi beats,2019,80,24,68,-2,11,19,111,94,7,22
"selfish, Pt. 1",frumhere,lo-fi beats,2019,99,42,42,-2,11,4,146,83,13,61
no faker,mxmtoon,bedroom pop,2020,97,70,73,-2,4,48,169,53,3,29
lovely (with Khalid),Billie Eilish,electropop,2018,115,30,35,-2,10,12,200,93,3,91
"love, death, distraction",EDEN,indie poptimism,2019,82,37,26,-2,30,22,257,92,3,50
love (wip),San Holo,edm,2018,79,77,25,-2,15,12,263,19,9,49
like i need u,keshi,indie r&b,2018,120,47,75,-2,29,41,183,40,9,71
let me go,ilo ilo,vapor twitch,2018,168,87,65,-2,8,47,163,2,22,34
lessons,mxmtoon,bedroom pop,2020,168,72,56,-3,12,36,212,25,7,64
julia,Jeremy Zucker,pop,2020,130,26,74,-3,10,16,261,77,6,73
insomnia,shinigami,dark trap,2019,163,74,20,-3,35,4,216,1,9,34
imagine if,gnash,pop,2019,92,45,91,-3,24,69,197,57,19,66
idontwannatalkaboutlove,CRAY,la pop,2019,96,73,66,-3,21,40,176,2,5,37
i'm closing my eyes (feat. shiloh),potsu,japanese chillhop,2017,134,11,90,-3,11,55,118,53,10,76
i miss the old you,sagun,lo-fi beats,2020,144,27,52,-3,12,4,164,8,3,49
i brought her flowers.,frumhere,lo-fi beats,2019,123,42,80,-3,9,16,132,89,8,18
how to sleep,EDEN,indie poptimism,2020,116,43,48,-3,70,29,158,75,9,58
hot girl bummer,blackbear,pop,2019,130,56,78,-3,40,68,185,13,8,90
high & dry,mxmtoon,bedroom pop,2019,130,59,59,-3,12,43,220,19,4,55
faded,frumhere,lo-fi beats,2019,102,35,82,-3,7,59,86,34,39,15
dream of you,mxmtoon,bedroom pop,2019,88,40,74,-3,8,42,235,41,4,54
deep end - alt version,Lykke Li,art pop,2019,110,32,35,-3,11,13,333,85,3,41
circles,sagun,lo-fi beats,2019,128,21,75,-3,10,33,116,84,39,36
cigarette breaks,frumhere,lo-fi beats,2019,83,44,37,-3,10,4,94,97,5,15
blame game,mxmtoon,bedroom pop,2019,95,33,70,-3,9,17,209,93,4,56
as long as it takes you,keshi,indie r&b,2017,140,29,88,-3,30,28,186,45,32,60
again,Nohidea,chillhop,2019,75,24,79,-3,11,72,102,11,23,33
Youth (feat. Khalid) - Acoustic,Shawn Mendes,canadian pop,2018,101,48,51,-3,13,45,190,84,7,46
Younger,Jonas Blue,dance pop,2019,106,85,78,-3,7,89,195,29,6,76
Youngblood - Acoustic,5 Seconds of Summer,boy band,2018,115,59,61,-3,18,40,221,13,3,60
Yiken (Certified),Priceless Da Roc,west coast trap,2013,102,58,80,-3,30,61,199,33,4,58
Yike In It,99 Percent,,2013,95,78,74,-3,12,50,157,1,3,36
Yellow (feat. Bekon),Rich Brian,indonesian hip hop,2019,76,53,45,-3,35,6,292,22,3,52
Yeah! (feat. Lil Jon & Ludacris),Usher,atl hip hop,2004,105,79,89,-4,4,58,250,2,11,80
YOUTH - Acoustic,Troye Sivan,australian pop,2016,93,19,54,-4,10,16,192,96,3,54
Word Thru the Street,REZZO,west coast trap,2014,99,93,68,-4,22,52,201,0,22,2
Wobble,V.I.C.,atl hip hop,2008,95,75,86,-4,15,38,322,40,23,60
Without Me - ILLENIUM Remix,Halsey,dance pop,2018,136,71,64,-4,22,37,249,48,5,65
Without Me,Postcards & Polaroids,,2018,135,16,80,-4,16,60,130,68,7,57
What Do You Mean? - Acoustic,Justin Bieber,canadian pop,2015,125,36,77,-4,10,76,204,79,4,63
What About Us - Chill Mix,Maverick,j-metal,2017,93,19,48,-4,40,5,331,54,3,49
Westcoast,YULTRON,k-hop,2019,96,76,73,-4,9,78,175,17,3,31
Westcoast,YULTRON,k-hop,2019,96,76,73,-4,9,78,175,17,3,39
Weak - Acoustic,AJR,modern rock,2017,124,73,62,-4,20,54,194,6,6,37
We Be Wildin (feat. Haon),YULTRON,k-hop,2019,82,80,83,-4,13,57,186,11,31,31
Way To Break My Heart (feat. Skrillex),Ed Sheeran,pop,2019,170,73,73,-4,9,43,190,11,16,62
Watch Yo Back,Slushii,bass trap,2019,150,93,72,-4,6,82,186,1,6,53
Wasted Space,Kayzo,brostep,2019,170,87,49,-4,13,25,223,0,5,45
Waste It On Me,Steve Aoki,big room,2018,96,68,67,-4,72,47,193,25,6,70
Wait It Out (feat. Micah Martin),Kayzo,brostep,2019,145,84,66,-4,28,33,199,0,13,31
WHEN I GROW UP,Yaeji,art pop,2020,128,48,69,-4,16,75,162,3,19,57
Vultures,Evanturetime,singaporean pop,2016,176,45,59,-4,7,24,231,56,7,22
Virtual Friends,DROELOE,bass trap,2019,150,86,67,-4,9,28,227,4,4,44
Version Of Me,Sasha Sloan,electropop,2018,95,49,70,-4,26,8,182,54,7,55
Up In Flames (feat. Alex Gaskarth of All Time Low),Kayzo,brostep,2019,75,77,48,-4,44,22,208,0,5,49
Up Down (Do This All Day) (feat. B.o.B),T-Pain,dance pop,2013,97,53,76,-4,16,47,232,27,6,65
Twerk (feat. Cardi B),City Girls,pop,2018,190,84,79,-4,17,48,166,12,14,71
Too Good At Goodbyes - Acoustic,Sam Smith,pop,2017,87,27,46,-4,14,26,220,85,5,65
Too Close (with Wrabel),Louis The Child,edm,2019,106,79,54,-4,11,31,208,5,22,57
Tip Toes (feat. Quavo),Saweetie,cali rap,2019,89,64,91,-4,10,43,171,1,20,62
Time Stood Still,Excision,brostep,2019,75,91,52,-4,94,15,243,2,6,49
Thoughts,Sasha Sloan,electropop,2019,90,46,69,-4,11,6,186,14,6,63
Thotiana,Blueface,cali rap,2018,104,38,91,-4,11,39,129,18,27,76
Thick Niggas and Anime Tiddies,Dbangz,meme rap,2017,136,45,90,-4,10,71,90,22,43,69
"There's No Way - Live from Box Fresh, London, 2018",Lauv,pop,2018,141,30,50,-4,7,57,165,88,9,48
The Unknown,BONNIE X CLYDE,bass trap,2018,130,89,48,-4,9,30,174,7,5,47
The Universe Is Yours (feat. Micah Martin),ARMNHMR,brostep,2019,152,90,32,-4,31,23,194,5,7,39
The Other - Stripped,Lauv,pop,2018,89,38,38,-4,29,41,182,83,3,57
That’s Why (with GOLDN),ILLENIUM,edm,2019,140,62,49,-4,13,18,253,9,3,57
That's a Rack,Lil Uzi Vert,melodic rap,2019,140,43,85,-4,15,26,237,6,50,72
Tell Me Why I'm Waiting,Timmies,lo-fi beats,2017,124,28,67,-4,7,17,124,80,5,75
Teleprompter,ÊMIA,,2019,102,59,67,-4,34,40,252,64,5,33
Tall Order,Linying,singaporean pop,2018,90,55,68,-4,8,33,223,50,7,23
Takeaway,The Chainsmokers,electropop,2019,100,51,53,-4,10,35,210,13,3,86
Take You Down,ILLENIUM,edm,2019,170,66,28,-4,31,22,221,40,4,59
Take My Hand,Kassy,k-indie,2018,84,23,67,-4,15,30,221,94,4,51
Take Me Home (feat. Bebe Rexha) - Acoustic,Cash Cash,big room,2014,125,63,45,-4,11,34,185,33,3,47
Symphony (feat. Zara Larsson) - Acoustic Version,Clean Bandit,dance pop,2017,83,32,53,-4,10,34,216,83,5,52
Superstar,Said the Sky,edm,2018,135,72,62,-4,9,42,206,7,4,52
Summer Luv (feat. Crystal Fighters),Whethan,edm,2019,206,66,40,-4,53,52,180,10,36,57
Sugarplum Elegy,NIKI,indie r&b,2019,140,32,50,-4,66,13,207,63,3,63
Sticky Leaves,Linying,singaporean pop,2016,76,54,45,-4,9,11,232,94,11,31
Stay - Acoustic,Zedd,complextro,2017,100,57,63,-4,30,29,195,9,3,52
Speak Up Selah,Linying,singaporean pop,2016,74,27,17,-4,14,6,277,84,4,17
Sound of Walking Away,ILLENIUM,edm,2017,180,79,35,-4,10,21,253,8,7,59
Sometimes - Acoustic,Kodaline,irish pop,2020,168,39,45,-4,18,51,207,69,4,58
Something Just Like This,Fly By Nightcore,nightcore,2018,115,46,68,-4,9,41,159,84,3,33
Something For Your M.I.N.D.,Superorganism,art pop,2018,140,54,70,-4,20,66,165,13,13,69
Something Comforting,Porter Robinson,big room,2020,144,56,47,-4,8,29,282,4,3,67
Someone Else,Rezz,brostep,2020,95,35,64,-4,13,25,199,21,4,64
Some More (feat. ZENE THE ZILLA),Bla$e Kid,korean trap,2018,156,82,79,-4,17,77,211,18,18,30
Slob On My Nob (feat. Project Pat),Tear Da Club Up Thugs,crunk,2000,85,67,86,-4,22,56,119,1,26,57
Silver Lining (feat. KARRA),ARMNHMR,brostep,2019,152,82,30,-4,7,17,215,8,6,37
Sick Boy,The Chainsmokers,electropop,2018,90,58,66,-4,12,45,193,11,5,74
Show Me Love,Alicia Keys,hip pop,2019,129,49,53,-4,7,52,195,45,4,68
Shotta Flow (Feat. Blueface) [Remix],NLE Choppa,memphis hip hop,2019,120,51,89,-5,14,57,177,3,42,77
Shots,Lil Tecca,melodic rap,2019,108,58,83,-5,8,51,109,53,4,74
Shots,Lil Jon,atl hip hop,2010,128,87,82,-5,12,17,218,1,5,55
Shed a Light - Acoustic Version,Robin Schulz,dance pop,2017,122,60,54,-5,7,49,199,29,4,43
She Twerkin,Ca$h Out,atl hip hop,2014,142,76,84,-5,11,33,172,0,5,3
Self Control,Linying,singaporean pop,2019,79,23,59,-5,12,19,231,94,4,43
Scared to Be Lonely - Acoustic Version,Martin Garrix,big room,2017,128,20,37,-5,8,13,257,70,3,64
Say Goodbye (feat. Sik-K & pH-1),YULTRON,k-hop,2019,134,82,63,-5,19,58,183,2,16,34
Save You Now (feat. Rico & Miella),ARMNHMR,brostep,2019,129,80,36,-5,7,17,228,0,4,34
Saturday Nights REMIX,Khalid,alternative r&b,2019,168,41,57,-5,9,35,211,63,8,63
Sanguine Paradise,Lil Uzi Vert,melodic rap,2019,135,60,73,-5,11,21,244,9,7,81
Same Page,Vincent,edm,2019,160,54,54,-5,11,51,183,59,18,58
Sad Songs (& Said The Sky with Annika Wells),ILLENIUM,edm,2019,145,57,53,-5,11,48,210,68,4,60
Sad Song (feat. Elena Coats),We The Kings,neo mellow,2013,85,53,51,-5,7,25,226,7,3,75
SWEAT,Ookay,brostep,2019,122,94,93,-5,9,43,214,0,13,27
SOLO,JENNIE,k-pop,2018,95,64,75,-5,10,39,170,9,9,72
SNAILCLOPS,Snails,bass trap,2019,73,95,67,-5,31,42,169,4,37,42
SICK,CXLOE,australian alternative pop,2019,106,65,79,-5,20,58,204,3,6,50
Runaway (feat. Reo Cragun),Ekali,bass trap,2019,127,69,63,-5,9,16,189,18,9,49
Run Away,Manila Killa,edm,2018,105,79,59,-5,12,11,188,0,4,51
Run,Joji,alternative r&b,2020,158,72,45,-5,61,36,195,4,3,81
Roots,Valerie Broussard,big room,2019,123,79,68,-5,18,58,185,6,4,71
Rise - Acoustic,Jonas Blue,dance pop,2018,95,49,63,-5,11,48,233,81,3,54
Reign (Will I Still Be the Same?),Luca Lush,vapor twitch,2019,150,82,28,-5,53,24,218,6,8,35
Rehab (Winter In Paris),Brent Faiyaz,alternative r&b,2019,144,24,53,-5,13,28,180,81,4,58
Red Nose,Sage The Gemini,dance pop,2014,195,47,68,-5,8,77,193,41,45,69
Ransom,Lil Tecca,melodic rap,2019,180,64,75,-5,7,23,131,2,29,88
QUE PRETENDES,J Balvin,latin,2019,93,79,64,-5,36,94,222,3,25,83
Psychopath - Recorded at Spotify Studios NYC,Charlotte Lawrence,dance pop,2018,110,54,74,-5,12,37,175,6,5,60
Proceed With Caution,Excision,brostep,2019,150,100,51,-5,41,15,200,0,28,37
Pray (feat. Kameron Alexander),ILLENIUM,edm,2019,146,69,49,-5,11,29,296,13,4,54
Potions - Acoustic,SLANDER,brostep,2020,144,32,58,-5,12,64,203,83,3,57
Potions,SLANDER,brostep,2019,150,32,55,-5,11,19,215,10,4,63
Pop Out Again (feat. Lil Baby & Gunna),Polo G,chicago rap,2019,84,69,86,-5,7,36,224,12,32,70
Pop Out (feat. Lil Tjay),Polo G,chicago rap,2019,168,64,77,-5,7,26,167,15,47,83
Pony,Ginuwine,dance pop,1999,142,61,75,-5,12,97,252,0,9,73
