Time,Turnips 1,Turnips 2,Turnips 3,Turnips 4,Turnips 5,Turnips 6,Turnips 7,Turnips 8,Turnips 9,Turnips 10,Turnips 11,Turnips 12,Turnips 13,Turnips 14,Turnips 15
Sun AM,98,107,91,95,105,94,99,100,90,108,103,92,95,93,101
Mon AM,96,72,83,67,85,84,64,55,79,85,91,81,79,70,89
Mon PM,122,65,79,51,80,87,63,39,75,78,85,76,68,66,81
Tues AM,115,133,76,131,76,75,116,121,72,147,84,111,61,90,78
Tues PM,66,142,72,129,133,70,104,137,69,149,80,178,109,104,105
Wed AM,69,150,69,132,138,64,118,159,65,150,73,545,120,139,198
Wed PM,91,139,107,88,174,128,128,197,60,99,68,137,166,185,603
Thur AM,113,100,159,91,208,179,137,176,58,106,62,89,189,151,149
Thur PM,120,108,511,86,201,561,122,54,51,111,55,77,186,78,101
Fri AM,129,117,50,110,90,149,97,47,49,126,43,52,79,63,71
Fri PM,71,77,106,72,44,112,74,49,43,83,42,55,71,29,65
Sat AM,51,55,67,49,36,41,59,67,38,59,38,49,46,31,52
Sat PM,57,61,62,39,32,49,69,38,32,61,34,47,41,25,58
